,Ridge.min,Lasso.min,Lasso.1se,L.Refit,PCR
0,0.09720236167795565,0.05547881383949461,0.05518172956174367,0.06201537178773007,0.06881167489153389
1,0.09770392275187026,0.039529784421939544,0.04431992970806184,0.035053658365107536,0.07269532746173495
2,0.09689186729207588,0.04145972987444068,0.04457301100818178,0.04352620915123739,0.06026365467512355
3,0.10508767475449445,0.029414671260624917,0.03412628482108458,0.028683155410421754,0.0452231686002108
4,0.11425414050705245,0.04140059994751458,0.04788364588901545,0.041320533754735295,0.05182040299616086
5,0.08854276306538189,0.038299314536315715,0.04144102816027659,0.039665953953506874,0.0528992438516021
6,0.09786636767761127,0.04195949764442876,0.04711515872566095,0.04582057255047492,0.04978668308351934
7,0.11224826649288167,0.04251183417273253,0.04259534804953533,0.04607801574058788,0.05869745550979188
8,0.09473262093898555,0.041513214485816,0.04429879914350359,0.04396168915078763,0.04647164849716936
9,0.12040014851540913,0.040216247113559214,0.044008121272422714,0.043295052693670136,0.0550435236426893
10,0.09845450707941077,0.03993330317058173,0.04688886315911976,0.044695970895613384,0.05801053466774254
11,0.13017069889971353,0.04642788486469785,0.044850642335319386,0.05453357504184092,0.058792107289460944
12,0.09167903583433254,0.0407762233286273,0.040908753436990325,0.04234259981782144,0.04672164463903662
13,0.1089649642969042,0.04284515410267007,0.04210161795375004,0.04766949529940513,0.05849847849910225
14,0.10508238839751523,0.059404503285852416,0.06725699835118415,0.06668528267180007,0.0755562902188341
15,0.10764741597974659,0.04649351688735093,0.05007186822107467,0.04317374043682968,0.05899069155566321
16,0.11871599255190356,0.044705056494806585,0.04341895112386502,0.04718927480226278,0.053825511038520193
17,0.10173425853052824,0.03102684740931512,0.03454654868841367,0.028665396549228613,0.038196304986892866
18,0.0964377082593858,0.04226458981164265,0.042737593712612834,0.045901512525480345,0.05671878699552317
19,0.10908057619435284,0.041638768673726484,0.045791185010853934,0.04169701332158397,0.05970498740867961
20,0.11928810252068359,0.04975003675986856,0.05132706867920333,0.047692802054544944,0.0677109718560315
21,0.11317231825075304,0.049650607107494076,0.05074698023461908,0.05176441104764855,0.06477892459815485
22,0.10647772285737506,0.043593855827014506,0.0443036111085801,0.0427548917742129,0.06742942119129797
23,0.10709759920030829,0.03968526407291828,0.039681570691221045,0.0461708621230458,0.058859636825103444
24,0.11393563023227278,0.043126123245911675,0.049924910515597797,0.047838945064393415,0.0562706624021519
25,0.11063896966308906,0.03383985511675722,0.03834141979247728,0.0354845902636969,0.04492999411978789
26,0.10691766627338858,0.03789411993748516,0.037977790716304145,0.03733091877271685,0.050545721960446446
27,0.08937192094411456,0.04498704948507878,0.045434907967694255,0.0472847531596095,0.05508132882602721
28,0.11228343866513181,0.04627609184151708,0.050648741000177494,0.051558844604471875,0.0550347652959632
29,0.08507169288864717,0.03911769497589456,0.038559904461405156,0.0439553589303023,0.05049094790940702
30,0.10049081271214262,0.03510682183973753,0.03354723146820077,0.04335049284218289,0.0569417239367496
31,0.09708716555842635,0.0468319719856279,0.04835113094575089,0.04793140812498479,0.06109669204197368
32,0.11476592597651952,0.0376851968596095,0.03997999672405398,0.03944340976995902,0.05242695893764038
33,0.11147541791229566,0.0519065401894884,0.05569868304687155,0.052264462394632887,0.05777379140499398
34,0.10013841108665102,0.042027210137582025,0.04467086417674158,0.04112162544246749,0.06074526414036332
35,0.10665595020812865,0.04115342510923568,0.04124920906097675,0.04190640660112735,0.0514476582943778
36,0.09628422041018699,0.04207641567074118,0.042377058699160586,0.04529585255096943,0.052416933253985123
37,0.10361813205016121,0.0493977550641325,0.05690548913754554,0.051234781604110005,0.06799219373502355
38,0.0945064115694279,0.04144047054111748,0.047484110294315277,0.04491856704638835,0.0602100738991495
39,0.1271244734325715,0.04860512630383461,0.04865745929755882,0.049964600806244715,0.07242116962177539
40,0.11372814743001695,0.050021312563154736,0.062128292157254704,0.05684925835204934,0.07095686525858112
41,0.09334284655516663,0.04571545655672489,0.04427160497994407,0.05216321324292115,0.06307853018802069
42,0.1152835642242381,0.04344891351008945,0.04492514352480521,0.0454906178250941,0.05451140645553037
43,0.1071590443135255,0.052974190431245995,0.05564413349293862,0.05064399076285566,0.07228971337947984
44,0.08569030187224552,0.050096381957250496,0.050434815630036725,0.04868922961833853,0.06114112947937291
45,0.11797630962708672,0.0479985901895955,0.05078520948080362,0.045722439905733554,0.07122301808426908
46,0.12319394896547559,0.034433363487965905,0.03247218487073176,0.03546643217769377,0.05647417113214388
47,0.10978726561382751,0.0274884422902983,0.03020070243912748,0.026609161396690083,0.05367791405727125
48,0.09148922599049472,0.04275253825052474,0.04559092612009142,0.04536053713076801,0.05173509333057722
49,0.09910077496659404,0.0432309526519389,0.04583373277912676,0.043961115780449866,0.04780987124847376
